Insurance Internal ID,State,Payor,"Payor, State",Insurance Internal ID2,Service_Address,Entity,NPI of entity ,Entity Tin,Payor Type,Active Individual Enrollment ,Status of contracting team,Notes,Billing address , Company,Contract Effective Date,Date Submitted to Medallion,Date Updated,Is_non_BCBA_compliant,Regions,All regions 4 state ,Is License required?
130,AZ,AHCCCS (Arizona FFS Medicaid),"AHCCCS (Arizona FFS Medicaid), AZ",130,"1 South Church Avenue Suite 1200, Tuscon, AZ, 85701",Attain ABA West LLC,1598313991,842877445,Medicaid,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,7/24/2021,11/29/2024,,,,all,
143,AZ,AZ Complete Health Care,"AZ Complete Health Care, AZ",143,"1 South Church Avenue Suite 1200, Tuscon, AZ, 85701",Attain ABA West LLC,1598313991,842877445,Managed Medicaid,Yes,Complete,2 Separate Enrollments,"850 Towbin Avenue, Lakewood NJ 08701",Attain,1/15/2022,11/29/2024,,,"CV,",some,Regions 
144,AZ,AZ Complete Health Care - Ambetter ,"AZ Complete Health Care - Ambetter , AZ",144,"1 South Church Avenue Suite 1200, Tuscon, AZ, 85701",Attain ABA West LLC,1598313991,842877445,Commercial,Yes,Complete,2 Separate Enrollments,"850 Towbin Avenue, Lakewood NJ 08701",Attain,1/15/2022,11/29/2024,,,,,
145,AZ,Banner Univ Family Care,"Banner Univ Family Care, AZ",145,"1 South Church Avenue Suite 1200, Tuscon, AZ, 85701",Attain ABA West LLC,1598313991,842877445,Managed Medicaid,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,5/15/2022,11/29/2024,,,,,
146,AZ,BCBS of Arizona,"BCBS of Arizona, AZ",146,"1 South Church Avenue Suite 1200, Tuscon, AZ, 85701",Attain ABA West LLC,1598313991,842877445,Commercial,Yes,Complete,Individual Contracts linked to the group payee. Group account. ,"850 Towbin Avenue, Lakewood NJ 08701",Attain,11/15/2023,11/29/2024,,,,,
191,AZ,ComPsych,"ComPsych, AZ",191,"1 South Church Avenue Suite 1200, Tuscon, AZ, 85701",Attain ABA West LLC,1598313991,842877445,Commercial,No ,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,6/18/2024,11/29/2024,,,,,
192,CO,ComPsych,"ComPsych, CO",192,"2301 Blake Street, Suite 100 Denver, CO 80205",Attain ABA West LLC,1598313991,842877445,Commercial,No,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,6/18/2024,11/29/2024,,,,,
111,DC, DC Amerigroup," DC Amerigroup, DC",111,"1100 H Street NW, Washington, DC 20005",Sunrise Therapy LLC,1427388610,271356178,Managed Medicaid,yes,NEEDs review ,,"858 Towbin Avenue, Lakewood NJ 08701",Sunrise,4/1/2023,11/29/2024,,,,,
122,GA,Aetna,"Aetna, GA",122,"1519 Johnson Ferry Road, Suite #100, Marietta, GA 30062-6410",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,11/1/2020,11/29/2024,,,,,
122,GA,Aetna,"Aetna, GA",122,"2711 Irvin Way, Suite 201, Decatur , GA 30030-1724",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,11/1/2020,11/29/2024,,,,,
122,GA,Aetna,"Aetna, GA",122,"2810 Premiere Pkwy, Suite 500 , Duluth, GA 30097-8912",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,11/1/2020,11/29/2024,,,,,
122,GA,Aetna,"Aetna, GA",122,"7360 McGinnis Ferry Rd, Suite 100, Johns Creek, GA 30024-6603",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,11/1/2020,11/29/2024,,,,,
122,GA,Aetna,"Aetna, GA",122,"955 Interstate Ridge Drive Suite ABC, Gainesville, GA 30501-7013",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,11/1/2020,11/29/2024,,,,,
123,MD,Aetna,"Aetna, MD",123,"400 East Pratt Street, 8th Floor, Baltimore Maryland 21202",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,12/1/2020,11/29/2024,,,,,
124,NJ,Aetna,"Aetna, NJ",124,"1 Allison Drive, Cherry Hill, NJ 08003",Connect Plus Therapy,1497109409,812236861,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,5/15/2020,11/29/2024,,,,,
124,NJ,Aetna,"Aetna, NJ",124,"1166 River Avenue, Lakewood, NJ 08701",Connect Plus Therapy,1497109409,812236861,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,5/15/2020,11/29/2024,,,,,
124,NJ,Aetna,"Aetna, NJ",124,"1902 Fairfax Avenue, Suite 117, Cherry Hill, NJ 08003",Connect Plus Therapy,1497109409,812236861,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,5/15/2020,11/29/2024,,,,,
126,PA,Aetna,"Aetna, PA",126,"800 New Holland Avenue, Unit 208 Lancaster PA, 17606",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,11/1/2020,11/29/2024,,,,,
126,PA,Aetna,"Aetna, PA",126,"4646 Umbria Street, Philadelphia PA 19127",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,11/1/2020,11/29/2024,,,,,
126,PA,Aetna,"Aetna, PA",126,"201 Lackawanna Avenue, Suite 321 Scranton PA 18503",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,11/1/2020,11/29/2024,,,,,
126,PA,Aetna,"Aetna, PA",126,"1326 Chestnut Street, 3rd floor Philadelphia, PA 19107",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,11/1/2020,11/29/2024,,,,,
198,UT,ComPsych,"ComPsych, UT",198,"222 S. Main Street, 5th Floor, Salt Lake City, UT 84101",Attain ABA West LLC,1598313991,842877445,Commercial,No,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,6/18/2024,11/29/2024,,,,,
127,VA,Aetna,"Aetna, VA",127,"8000 Towers Crescent Drive, 13th Floor, Vienna, Virginia, 22182",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,12/1/2020,11/29/2024,,,,,
206,AZ,Health Choices Arizona,"Health Choices Arizona, AZ",206,"1 South Church Avenue Suite 1200, Tuscon, AZ, 85701",Attain ABA West LLC,1598313991,842877445,Managed Medicaid,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,4/1/2024,11/29/2024,,,,,
239,AZ,Mercy Care Plan,"Mercy Care Plan, AZ",239,"1 South Church Avenue Suite 1200, Tuscon, AZ, 85701",Attain ABA West LLC,1598313991,842877445,Managed Medicaid,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,3/1/2022,11/29/2024,,,,,
281,AZ,United Behavioral Health,"United Behavioral Health, AZ",281,"1 South Church Avenue Suite 1200, Tuscon, AZ, 85701",Attain ABA West LLC,1598313991,842877445,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,10/14/2023,11/29/2024,,,,,
120,CA,Aetna,"Aetna, CA",120,"3620 W. Hammer Lane, Stockton, CA 95219-5435",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/1/2021,11/29/2024,,,,,
120,CA,Aetna,"Aetna, CA",120,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/1/2021,11/29/2024,,,,,
120,CA,Aetna,"Aetna, CA",120,"6760 N. West Avenue, Suite 101, Fresno, CA 93711-1396",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/1/2021,11/29/2024,,,,,
120,CA,Aetna,"Aetna, CA",120,"3745 Long Beach Blvd, Ste 100, Long Beach, CA 90807-3340",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/1/2021,11/29/2024,,,,,
120,CA,Aetna,"Aetna, CA",120,"1300 Ethan Way Ste. 175, Sacramento, CA 95825-2277",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/1/2021,11/29/2024,,,,,
120,CA,Aetna,"Aetna, CA",120,"2230 Longport Ct. #130, Elk Grove, CA 95758-7182",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/1/2021,11/29/2024,,,,,
120,CA,Aetna,"Aetna, CA",120,"6560 Lonetree Blvd, Suite 100, Rocklin, CA 95765-5891",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/1/2021,11/29/2024,,,,,
120,CA,Aetna,"Aetna, CA",120,"8950 Cal Center Dr. #137, Sacramento, CA 95826-3236",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/1/2021,11/29/2024,,,,,
133,GA,Amerigroup,"Amerigroup, GA",133,"1519 Johnson Ferry Road, Suite #100, Marietta, GA 30062-6410",Kadiant LLC,1811547052,833935694,Managed Medicaid,No ,Complete,One enrollment through Medicaid - must select on MCD enrollment ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/2/2021,11/29/2024,,,,,
133,GA,Amerigroup,"Amerigroup, GA",133,"2711 Irvin Way, Suite 201, Decatur , GA 30030-1724",Kadiant LLC,1811547052,833935694,Managed Medicaid,No ,Complete,One enrollment through Medicaid - must select on MCD enrollment ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/2/2021,11/29/2024,,,,,
133,GA,Amerigroup,"Amerigroup, GA",133,"2810 Premiere Pkwy, Suite 500 , Duluth, GA 30097-8912",Kadiant LLC,1811547052,833935694,Managed Medicaid,No ,Complete,One enrollment through Medicaid - must select on MCD enrollment ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/2/2021,11/29/2024,,,,,
133,GA,Amerigroup,"Amerigroup, GA",133,"7360 McGinnis Ferry Rd, Suite 100, Johns Creek, GA 30024-6603",Kadiant LLC,1811547052,833935694,Managed Medicaid,No ,Complete,One enrollment through Medicaid - must select on MCD enrollment ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/2/2021,11/29/2024,,,,,
133,GA,Amerigroup,"Amerigroup, GA",133,"955 Interstate Ridge Drive Suite ABC, Gainesville, GA 30501-7013",Kadiant LLC,1811547052,833935694,Managed Medicaid,No ,Complete,One enrollment through Medicaid - must select on MCD enrollment ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/2/2021,11/29/2024,,,,,
119,NE,ACCESSNebraska (Nebraska FFS Medicaid),"ACCESSNebraska (Nebraska FFS Medicaid), NE",119,"1299 Farnam Street Suite 300, Omaha NE 68102",Attain ABA MW LLC,1073124897,842938165,Medicaid,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,3/9/2021,11/29/2024,,,,,
125,OH,Aetna,"Aetna, OH",125,"3070 Riverside Dr. Ste 200, Columbus, OH 43221-2547",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,3/1/2021,11/29/2024,,,,,
172,OR,Cigna,"Cigna, OR",172,"1675 S. W. Marlow Ave., Ste. 200, Portland, OR 97225-5102",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,ID 5795578,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/2/2020,11/29/2024,,,,,
175,WA,Cigna,"Cigna, WA",175,"720 SE 160th Ave Ste 103 #154, Vancouver, WA 98684-8912",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,ID 5796310,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/8/2020,11/29/2024,,,,,
131,CA,Alameda Alliance ,"Alameda Alliance , CA",131,"3620 W. Hammer Lane, Stockton, CA 95219-5435",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2023,11/29/2024,,,,,
131,CA,Alameda Alliance ,"Alameda Alliance , CA",131,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2023,11/29/2024,,,,,
131,CA,Alameda Alliance ,"Alameda Alliance , CA",131,"6760 N. West Avenue, Suite 101, Fresno, CA 93711-1396",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2023,11/29/2024,,,,,
131,CA,Alameda Alliance ,"Alameda Alliance , CA",131,"3745 Long Beach Blvd, Ste 100, Long Beach, CA 90807-3340",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2023,11/29/2024,,,,,
131,CA,Alameda Alliance ,"Alameda Alliance , CA",131,"1300 Ethan Way Ste. 175, Sacramento, CA 95825-2277",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2023,11/29/2024,,,,,
131,CA,Alameda Alliance ,"Alameda Alliance , CA",131,"2230 Longport Ct. #130, Elk Grove, CA 95758-7182",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2023,11/29/2024,,,,,
131,CA,Alameda Alliance ,"Alameda Alliance , CA",131,"6560 Lonetree Blvd, Suite 100, Rocklin, CA 95765-5891",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2023,11/29/2024,,,,,
131,CA,Alameda Alliance ,"Alameda Alliance , CA",131,"8950 Cal Center Dr. #137, Sacramento, CA 95826-3236",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2023,11/29/2024,,,,,
112,DC, DC Amerihealth," DC Amerihealth, DC",112,"1100 H Street NW, Washington, DC 20005",Sunrise Therapy LLC,1427388610,271356178,Managed Medicaid,yes,NEEDs review ,,"859 Towbin Avenue, Lakewood NJ 08701",Sunrise,4/15/2021,11/29/2024,,,,,
138,GA,Anthem BCBS,"Anthem BCBS, GA",138,"1519 Johnson Ferry Road, Suite #100, Marietta, GA 30062-6410",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,2/1/2021,11/29/2024,,,,,
138,GA,Anthem BCBS,"Anthem BCBS, GA",138,"2711 Irvin Way, Suite 201, Decatur , GA 30030-1724",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,2/1/2021,11/29/2024,,,,,
138,GA,Anthem BCBS,"Anthem BCBS, GA",138,"2810 Premiere Pkwy, Suite 500 , Duluth, GA 30097-8912",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,2/1/2021,11/29/2024,,,,,
138,GA,Anthem BCBS,"Anthem BCBS, GA",138,"7360 McGinnis Ferry Rd, Suite 100, Johns Creek, GA 30024-6603",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,2/1/2021,11/29/2024,,,,,
